dataset,source_type,location_id,stock,region,species_id,species,year,file_path,raw_url,annual_count
adfg-commercial,escapement_monitoring,1001,George River,NA,450,Chum,2025,1001/450/2025-eagle-sonar-yukon-canadian-border-escapement-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2025-eagle-sonar-yukon-canadian-border-escapement-chum.json,NA
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,1997,1001/430/1997-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/1997-george-river-coho.json,9483
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,1999,1001/430/1999-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/1999-george-river-coho.json,8930
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2000,1001/430/2000-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2000-george-river-coho.json,11280
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2001,1001/430/2001-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2001-george-river-coho.json,15241
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2002,1001/430/2002-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2002-george-river-coho.json,6759
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2003,1001/430/2003-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2003-george-river-coho.json,30944
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2004,1001/430/2004-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2004-george-river-coho.json,13248
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2005,1001/430/2005-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2005-george-river-coho.json,8296
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2006,1001/430/2006-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2006-george-river-coho.json,12693
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2007,1001/430/2007-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2007-george-river-coho.json,28513
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2008,1001/430/2008-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2008-george-river-coho.json,21956
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2009,1001/430/2009-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2009-george-river-coho.json,12600
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2010,1001/430/2010-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2010-george-river-coho.json,12866
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2011,1001/430/2011-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2011-george-river-coho.json,31900
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2012,1001/430/2012-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2012-george-river-coho.json,14844
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2013,1001/430/2013-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2013-george-river-coho.json,14823
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2014,1001/430/2014-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2014-george-river-coho.json,35771
