dataset,source_type,location_id,stock,region,species_id,species,year,file_path,raw_url
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2018,1001/410/2018-george-river-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2018-george-river-chinook.json
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2019,1001/410/2019-eagle-sonar-yukon-canadian-border-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2019-eagle-sonar-yukon-canadian-border-chinook.json
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2020,1001/410/2020-eagle-sonar-yukon-canadian-border-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2020-eagle-sonar-yukon-canadian-border-chinook.json
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2021,1001/410/2021-george-river-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2021-george-river-chinook.json
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2022,1001/410/2022-eagle-sonar-yukon-canadian-border-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2022-eagle-sonar-yukon-canadian-border-chinook.json
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2023,1001/410/2023-george-river-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2023-george-river-chinook.json
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2024,1001/410/2024-george-river-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2024-george-river-chinook.json
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2025,1001/410/2025-eagle-sonar-yukon-canadian-border-escapement-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2025-eagle-sonar-yukon-canadian-border-escapement-chinook.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,1996,1001/450/1996-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/1996-george-river-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,1997,1001/450/1997-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/1997-george-river-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,1999,1001/450/1999-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/1999-george-river-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2000,1001/450/2000-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2000-george-river-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2001,1001/450/2001-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2001-george-river-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2002,1001/450/2002-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2002-george-river-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2003,1001/450/2003-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2003-george-river-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2004,1001/450/2004-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2004-george-river-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2005,1001/450/2005-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2005-george-river-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2006,1001/450/2006-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2006-george-river-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2007,1001/450/2007-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2007-george-river-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2008,1001/450/2008-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2008-george-river-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2009,1001/450/2009-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2009-george-river-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2010,1001/450/2010-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2010-eagle-sonar-yukon-canadian-border-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2011,1001/450/2011-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2011-eagle-sonar-yukon-canadian-border-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2012,1001/450/2012-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2012-eagle-sonar-yukon-canadian-border-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2013,1001/450/2013-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2013-eagle-sonar-yukon-canadian-border-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2014,1001/450/2014-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2014-george-river-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2015,1001/450/2015-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2015-eagle-sonar-yukon-canadian-border-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2016,1001/450/2016-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2016-eagle-sonar-yukon-canadian-border-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2017,1001/450/2017-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2017-george-river-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2018,1001/450/2018-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2018-eagle-sonar-yukon-canadian-border-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2019,1001/450/2019-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2019-eagle-sonar-yukon-canadian-border-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2020,1001/450/2020-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2020-george-river-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2021,1001/450/2021-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2021-eagle-sonar-yukon-canadian-border-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2022,1001/450/2022-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2022-eagle-sonar-yukon-canadian-border-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2023,1001/450/2023-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2023-eagle-sonar-yukon-canadian-border-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2024,1001/450/2024-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2024-eagle-sonar-yukon-canadian-border-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,450,Chum,2025,1001/450/2025-eagle-sonar-yukon-canadian-border-escapement-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2025-eagle-sonar-yukon-canadian-border-escapement-chum.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,1997,1001/430/1997-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/1997-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,1999,1001/430/1999-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/1999-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2000,1001/430/2000-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2000-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2001,1001/430/2001-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2001-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2002,1001/430/2002-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2002-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2003,1001/430/2003-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2003-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2004,1001/430/2004-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2004-george-river-coho.json
